iter	Passed	Remaining
0	0	93
1	1	86
2	2	81
3	3	77
4	4	79
5	5	79
6	5	77
7	6	77
8	7	76
9	8	75
10	9	74
11	10	73
12	11	74
13	12	73
14	13	74
15	13	73
16	14	72
17	15	70
18	16	69
19	17	69
20	18	68
21	18	66
22	19	65
23	20	65
24	21	65
25	22	64
26	23	63
27	24	62
28	25	61
29	26	60
30	27	60
31	27	59
32	28	58
33	29	57
34	30	56
35	31	55
36	32	54
37	32	53
38	33	52
39	34	52
40	35	51
41	35	49
42	36	48
43	37	47
44	38	46
45	39	46
46	40	45
47	40	44
48	41	43
49	42	42
50	43	41
51	44	41
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	49	35
58	50	34
59	51	34
60	52	33
61	53	32
62	55	32
63	56	31
64	57	30
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	26
71	64	25
72	66	24
73	67	23
74	68	22
75	69	21
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	79	13
85	80	13
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	90	2
97	91	1
98	92	0
99	93	0
